Timestamp,Prelim,Actual,Forecast,Previous
2021-03-03 10:30:00,False,-13.624M,-2.300M,0.012M
2021-02-24 10:30:00,False,0.012M,-3.062M,0.672M
2021-02-18 11:00:00,False,0.672M,1.397M,4.259M
2021-02-10 10:30:00,False,4.259M,1.814M,4.466M
2021-02-03 10:30:00,False,4.466M,1.134M,2.470M
2021-01-27 10:30:00,False,2.470M,1.764M,-0.260M
2021-01-22 11:00:00,False,-0.260M,2.771M,4.395M
2021-01-13 10:30:00,False,4.395M,2.695M,4.519M
2021-01-06 10:30:00,False,4.519M,1.525M,-1.192M
2020-12-30 10:30:00,False,-1.192M,1.662M,-1.125M
2020-12-23 10:30:00,False,-1.125M,1.210M,1.020M
2020-12-16 10:30:00,False,1.020M,1.614M,4.222M
2020-12-09 10:30:00,False,4.222M,2.271M,3.491M
2020-12-02 10:30:00,False,3.491M,2.386M,2.180M
2020-11-25 10:30:00,False,2.180M,0.614M,2.611M
2020-11-18 10:30:00,False,2.611M,0.087M,-2.309M
2020-11-12 11:00:00,False,-2.309M,-0.263M,1.541M
2020-11-04 10:30:00,False,1.541M,-0.871M,-0.892M
2020-10-28 09:30:00,False,-0.892M,-0.961M,1.895M
2020-10-21 09:30:00,False,1.895M,-1.829M,-1.626M
2020-10-15 10:00:00,False,-1.626M,-1.607M,-1.435M
2020-10-07 09:30:00,False,-1.435M,-0.471M,0.683M
2020-09-30 09:30:00,False,0.683M,-1.083M,-4.025M
2020-09-23 09:30:00,False,-4.025M,-0.648M,-0.381M
2020-09-16 09:30:00,False,-0.381M,-0.160M,-2.954M
2020-09-10 10:00:00,False,-2.954M,-2.384M,-4.320M
2020-09-02 09:30:00,False,-4.320M,-3.036M,-4.584M
2020-08-26 09:30:00,False,-4.584M,-1.533M,-3.322M
2020-08-19 09:30:00,False,-3.322M,-1.057M,-0.722M
2020-08-12 09:30:00,False,-0.722M,-0.674M,0.419M
2020-08-05 09:30:00,False,0.419M,-0.170M,0.654M
2020-07-29 09:30:00,False,0.654M,-0.733M,-1.802M
2020-07-22 09:30:00,False,-1.802M,-1.386M,-3.147M
2020-07-15 09:30:00,False,-3.147M,-0.643M,-4.839M
2020-07-08 09:30:00,False,-4.839M,-0.002M,1.199M
2020-07-01 09:30:00,False,1.199M,-1.583M,-1.673M
2020-06-24 09:30:00,False,-1.673M,-1.304M,-1.667M
2020-06-17 09:30:00,False,-1.667M,-0.017M,0.866M
