time,ask,bid,ask_volume,bid_volume
2017-10-16 00:00:00.173000,1.24795,1.24786,1000000,1000000
2017-10-16 00:00:00.775000,1.24795,1.24787,1000000,1250000
2017-10-16 00:00:01.295000,1.24795,1.24786,1000000,1310000
2017-10-16 00:00:02.225000,1.24795,1.24785,1000000,1120000
2017-10-16 00:00:02.530000,1.24795,1.24785,1000000,2620000
2017-10-16 00:00:02.582000,1.24795,1.24785,1000000,1500000
2017-10-16 00:00:03.096000,1.24794,1.24785,1000000,1000000
2017-10-16 00:00:03.607000,1.24795,1.24785,1000000,1250000
2017-10-16 00:00:09.920000,1.24795,1.24785,1500000,2620000
2017-10-16 00:00:12.206000,1.24792,1.24785,1000000,1120000
2017-10-16 00:00:12.665000,1.24794,1.24785,1000000,1000000
2017-10-16 00:00:14.418000,1.24793,1.24785,1000000,1000000
2017-10-16 00:00:23.524000,1.24794,1.24785,1000000,1000000
2017-10-16 00:00:24.034000,1.24795,1.24785,1500000,1870000
2017-10-16 00:00:24.546000,1.24795,1.24785,1500000,1690000
2017-10-16 00:00:27.758000,1.24795,1.24785,1500000,2250000
2017-10-16 00:00:28.277000,1.24795,1.24785,1500000,1120000
2017-10-16 00:00:28.967000,1.24794,1.24785,1000000,1120000
2017-10-16 00:00:30.737000,1.24794,1.24785,1000000,2440000
2017-10-16 00:00:31.878000,1.24794,1.24785,1250000,1120000
2017-10-16 00:00:33.430000,1.24795,1.24785,1500000,1000000
2017-10-16 00:00:33.987000,1.24794,1.24785,1000000,1000000
2017-10-16 00:00:34.520000,1.24795,1.24785,1000000,1000000
2017-10-16 00:00:52.904000,1.24797,1.24783,1250000,1370000
2017-10-16 00:00:59.172000,1.24798,1.24785,1500000,1870000
2017-10-16 00:00:59.711000,1.24799,1.24785,3190000,1620000
2017-10-16 00:01:00.241000,1.24798,1.24785,2060000,2620000
2017-10-16 00:01:00.547000,1.24795,1.24785,1000000,1870000
2017-10-16 00:01:01.609000,1.24795,1.24784,1000000,2250000
